C	0.800995025	P	[	97.33303906	30.20950553	1.00509969	39	]
C	0.858490566	P	[	103.0113207	29.58736577	1.0778607	41	]
C	0.912621359	P	[	102.0460629	31.0136035	1.10792712	40	]
C	0.581632653	P	[	97.46075491	32.02628011	1.03948725	38	]
C	0.655339806	P	[	101.8901501	29.97783111	1.07407035	40	]
C	0.427860697	P	[	99.2153337	31.20749982	1.05608391	39	]
C	0.597087379	P	[	99.08212634	29.05644396	1.03261868	40	]
C	1.258706468	P	[	103.6564442	30.93448008	1.06071471	39	]
C	0.914691943	P	[	97.45393077	27.94892626	1.00313496	41	]
C	0.645631068	P	[	98.05961729	30.31688182	1.04059121	40	]
C	0.653061224	P	[	96.8419029	32.16438392	1.03195209	38	]
C	0.738219895	P	[	96.25343195	34.74039305	1.05953199	37	]
C	0.266990291	P	[	100.1640147	30.51439486	1.05603165	40	]
C	0.464454976	P	[	99.79240559	29.14613714	1.0290825	41	]
C	0.379146919	P	[	100.7924142	29.00619045	1.04481557	41	]
C	0.938388626	P	[	103.2647411	28.4575586	1.07761708	41	]
C	0.475728155	P	[	99.53693245	29.27377662	1.02359735	40	]
C	0.36407767	P	[	100.8814715	30.36045919	1.05799519	40	]
C	0.383084577	P	[	98.97616661	31.48830959	1.04813163	39	]
C	0.916666667	P	[	99.36768999	29.31058201	1.06111806	42	]
C	0.333333333	P	[	100.812004	30.03230822	1.05989325	40	]
C	0.567961165	P	[	100.0742988	28.77664453	1.02598133	40	]
C	0.452830189	P	[	101.1850127	29.4010909	1.05882374	41	]
C	0.388349515	P	[	100.9071547	30.62412737	1.06829172	40	]
C	0.455445545	P	[	98.32265317	31.2468788	1.04621461	39	]
C	0.644549763	P	[	100.6551741	28.63496522	1.02850782	41	]
C	0.473933649	P	[	101.1575421	28.42051191	1.03761475	41	]
C	0.568720379	P	[	102.3141588	28.47826778	1.05691865	41	]
C	0.626213592	P	[	101.6277677	30.71862511	1.06745597	40	]
C	1.033175355	P	[	104.3122626	27.97546529	1.0532123	41	]
C	0.646766169	P	[	97.43174529	31.30275781	1.02517802	39	]
C	0.653465347	P	[	101.0980278	31.89366498	1.07551206	39	]
C	0.626213592	P	[	98.69196412	29.3360663	1.01127104	40	]
C	0.577114428	P	[	98.43420588	30.09161704	1.01823146	39	]
C	0.656716418	P	[	98.56646401	32.30936253	1.05796167	39	]
C	0.487922705	P	[	100.8768008	31.07002969	1.06773964	40	]
C	0.542288557	P	[	99.83874703	31.48788031	1.05297893	39	]
C	0.781094527	P	[	97.69515147	29.99449799	1.00594172	39	]
C	0.99009901	P	[	101.7154243	32.26400062	1.11298267	39	]
C	0.791469194	P	[	102.3968914	27.68397409	1.03576939	41	]
C	0.545918367	P	[	97.52687838	32.27744502	1.04032052	38	]
C	0.514563107	P	[	99.02061406	30.19261084	1.02682783	40	]
C	0.707920792	P	[	96.85238512	31.30360608	1.02510657	39	]
C	0.606796117	P	[	98.06683716	30.34153351	1.03036928	40	]
C	0.437810945	P	[	99.28985082	31.16378213	1.05688073	39	]
C	0.485436893	P	[	100.4058528	30.80172686	1.05681892	40	]
C	0.676616915	P	[	97.9654166	30.1090471	1.02116	39	]
C	0.349514563	P	[	100.7527942	29.60094734	1.05288847	40	]
